name,class,chromosome,position_hg38,bin,source,doi
bg_0360,background,chr3,19736500,19736,uniform random atlas bin (seed 20260702),
bg_0361,background,chr3,19766500,19766,uniform random atlas bin (seed 20260702),
bg_0362,background,chr3,20301500,20301,uniform random atlas bin (seed 20260702),
bg_0363,background,chr3,20572500,20572,uniform random atlas bin (seed 20260702),
bg_0364,background,chr3,20824500,20824,uniform random atlas bin (seed 20260702),
bg_0365,background,chr3,23498500,23498,uniform random atlas bin (seed 20260702),
bg_0366,background,chr3,24041500,24041,uniform random atlas bin (seed 20260702),
bg_0367,background,chr3,24412500,24412,uniform random atlas bin (seed 20260702),
bg_0368,background,chr3,24855500,24855,uniform random atlas bin (seed 20260702),
bg_0369,background,chr3,27571500,27571,uniform random atlas bin (seed 20260702),
bg_0370,background,chr3,28916500,28916,uniform random atlas bin (seed 20260702),
bg_0371,background,chr3,31953500,31953,uniform random atlas bin (seed 20260702),
bg_0372,background,chr3,33344500,33344,uniform random atlas bin (seed 20260702),
bg_0373,background,chr3,35463500,35463,uniform random atlas bin (seed 20260702),
bg_0374,background,chr3,36315500,36315,uniform random atlas bin (seed 20260702),
bg_0375,background,chr3,36610500,36610,uniform random atlas bin (seed 20260702),
bg_0376,background,chr3,36774500,36774,uniform random atlas bin (seed 20260702),
bg_0377,background,chr3,38328500,38328,uniform random atlas bin (seed 20260702),
bg_0378,background,chr3,39412500,39412,uniform random atlas bin (seed 20260702),
bg_0379,background,chr3,40912500,40912,uniform random atlas bin (seed 20260702),
bg_0380,background,chr3,44374500,44374,uniform random atlas bin (seed 20260702),
bg_0381,background,chr3,45919500,45919,uniform random atlas bin (seed 20260702),
bg_0382,background,chr3,46248500,46248,uniform random atlas bin (seed 20260702),
bg_0383,background,chr3,46817500,46817,uniform random atlas bin (seed 20260702),
bg_0384,background,chr3,47830500,47830,uniform random atlas bin (seed 20260702),
bg_0385,background,chr3,48731500,48731,uniform random atlas bin (seed 20260702),
bg_0386,background,chr3,50130500,50130,uniform random atlas bin (seed 20260702),
bg_0387,background,chr3,51668500,51668,uniform random atlas bin (seed 20260702),
bg_0388,background,chr3,51823500,51823,uniform random atlas bin (seed 20260702),
bg_0389,background,chr3,55565500,55565,uniform random atlas bin (seed 20260702),
bg_0390,background,chr3,57052500,57052,uniform random atlas bin (seed 20260702),
bg_0391,background,chr3,58684500,58684,uniform random atlas bin (seed 20260702),
bg_0392,background,chr3,60067500,60067,uniform random atlas bin (seed 20260702),
bg_0393,background,chr3,60805500,60805,uniform random atlas bin (seed 20260702),
bg_0394,background,chr3,62298500,62298,uniform random atlas bin (seed 20260702),
bg_0395,background,chr3,62381500,62381,uniform random atlas bin (seed 20260702),
bg_0396,background,chr3,65527500,65527,uniform random atlas bin (seed 20260702),
bg_0397,background,chr3,66126500,66126,uniform random atlas bin (seed 20260702),
bg_0398,background,chr3,67851500,67851,uniform random atlas bin (seed 20260702),
bg_0399,background,chr3,67886500,67886,uniform random atlas bin (seed 20260702),
bg_0400,background,chr3,68238500,68238,uniform random atlas bin (seed 20260702),
bg_0401,background,chr3,68869500,68869,uniform random atlas bin (seed 20260702),
bg_0402,background,chr3,72593500,72593,uniform random atlas bin (seed 20260702),
bg_0403,background,chr3,72606500,72606,uniform random atlas bin (seed 20260702),
bg_0404,background,chr3,73099500,73099,uniform random atlas bin (seed 20260702),
bg_0405,background,chr3,74686500,74686,uniform random atlas bin (seed 20260702),
bg_0406,background,chr3,79214500,79214,uniform random atlas bin (seed 20260702),
bg_0407,background,chr3,79782500,79782,uniform random atlas bin (seed 20260702),
bg_0408,background,chr3,79986500,79986,uniform random atlas bin (seed 20260702),
bg_0409,background,chr3,80756500,80756,uniform random atlas bin (seed 20260702),
bg_0410,background,chr3,81018500,81018,uniform random atlas bin (seed 20260702),
bg_0411,background,chr3,81271500,81271,uniform random atlas bin (seed 20260702),
bg_0412,background,chr3,81446500,81446,uniform random atlas bin (seed 20260702),
bg_0413,background,chr3,81551500,81551,uniform random atlas bin (seed 20260702),
bg_0414,background,chr3,81951500,81951,uniform random atlas bin (seed 20260702),
bg_0415,background,chr3,82715500,82715,uniform random atlas bin (seed 20260702),
bg_0416,background,chr3,85570500,85570,uniform random atlas bin (seed 20260702),
bg_0417,background,chr3,86917500,86917,uniform random atlas bin (seed 20260702),
bg_0418,background,chr3,87175500,87175,uniform random atlas bin (seed 20260702),
bg_0419,background,chr3,88013500,88013,uniform random atlas bin (seed 20260702),
bg_0420,background,chr3,89046500,89046,uniform random atlas bin (seed 20260702),
bg_0421,background,chr3,89417500,89417,uniform random atlas bin (seed 20260702),
bg_0422,background,chr3,90689500,90689,uniform random atlas bin (seed 20260702),
bg_0423,background,chr3,91733500,91733,uniform random atlas bin (seed 20260702),
bg_0424,background,chr3,91912500,91912,uniform random atlas bin (seed 20260702),
bg_0425,background,chr3,92332500,92332,uniform random atlas bin (seed 20260702),
bg_0426,background,chr3,96430500,96430,uniform random atlas bin (seed 20260702),
bg_0427,background,chr3,97804500,97804,uniform random atlas bin (seed 20260702),
bg_0428,background,chr3,103400500,103400,uniform random atlas bin (seed 20260702),
bg_0429,background,chr3,104245500,104245,uniform random atlas bin (seed 20260702),
bg_0430,background,chr3,104540500,104540,uniform random atlas bin (seed 20260702),
bg_0431,background,chr3,107862500,107862,uniform random atlas bin (seed 20260702),
bg_0432,background,chr3,108705500,108705,uniform random atlas bin (seed 20260702),
bg_0433,background,chr3,109655500,109655,uniform random atlas bin (seed 20260702),
bg_0434,background,chr3,109687500,109687,uniform random atlas bin (seed 20260702),
bg_0435,background,chr3,110823500,110823,uniform random atlas bin (seed 20260702),
bg_0436,background,chr3,115038500,115038,uniform random atlas bin (seed 20260702),
bg_0437,background,chr3,120433500,120433,uniform random atlas bin (seed 20260702),
bg_0438,background,chr3,122357500,122357,uniform random atlas bin (seed 20260702),
bg_0439,background,chr3,122630500,122630,uniform random atlas bin (seed 20260702),
bg_0440,background,chr3,122812500,122812,uniform random atlas bin (seed 20260702),
bg_0441,background,chr3,124107500,124107,uniform random atlas bin (seed 20260702),
bg_0442,background,chr3,125066500,125066,uniform random atlas bin (seed 20260702),
bg_0443,background,chr3,129739500,129739,uniform random atlas bin (seed 20260702),
bg_0444,background,chr3,129984500,129984,uniform random atlas bin (seed 20260702),
bg_0445,background,chr3,130757500,130757,uniform random atlas bin (seed 20260702),
bg_0446,background,chr3,131706500,131706,uniform random atlas bin (seed 20260702),
bg_0447,background,chr3,131772500,131772,uniform random atlas bin (seed 20260702),
bg_0448,background,chr3,132722500,132722,uniform random atlas bin (seed 20260702),
bg_0449,background,chr3,133318500,133318,uniform random atlas bin (seed 20260702),
bg_0450,background,chr3,135494500,135494,uniform random atlas bin (seed 20260702),
bg_0451,background,chr3,139610500,139610,uniform random atlas bin (seed 20260702),
bg_0452,background,chr3,139925500,139925,uniform random atlas bin (seed 20260702),
bg_0453,background,chr3,142346500,142346,uniform random atlas bin (seed 20260702),
bg_0454,background,chr3,142741500,142741,uniform random atlas bin (seed 20260702),
bg_0455,background,chr3,145265500,145265,uniform random atlas bin (seed 20260702),
bg_0456,background,chr3,147975500,147975,uniform random atlas bin (seed 20260702),
bg_0457,background,chr3,148346500,148346,uniform random atlas bin (seed 20260702),
bg_0458,background,chr3,149328500,149328,uniform random atlas bin (seed 20260702),
bg_0459,background,chr3,151274500,151274,uniform random atlas bin (seed 20260702),
bg_0460,background,chr3,153091500,153091,uniform random atlas bin (seed 20260702),
bg_0461,background,chr3,153104500,153104,uniform random atlas bin (seed 20260702),
bg_0462,background,chr3,153179500,153179,uniform random atlas bin (seed 20260702),
bg_0463,background,chr3,157311500,157311,uniform random atlas bin (seed 20260702),
bg_0464,background,chr3,158314500,158314,uniform random atlas bin (seed 20260702),
bg_0465,background,chr3,158418500,158418,uniform random atlas bin (seed 20260702),
bg_0466,background,chr3,158784500,158784,uniform random atlas bin (seed 20260702),
bg_0467,background,chr3,158862500,158862,uniform random atlas bin (seed 20260702),
bg_0468,background,chr3,158994500,158994,uniform random atlas bin (seed 20260702),
bg_0469,background,chr3,161118500,161118,uniform random atlas bin (seed 20260702),
bg_0470,background,chr3,162036500,162036,uniform random atlas bin (seed 20260702),
bg_0471,background,chr3,162699500,162699,uniform random atlas bin (seed 20260702),
bg_0472,background,chr3,165908500,165908,uniform random atlas bin (seed 20260702),
bg_0473,background,chr3,168264500,168264,uniform random atlas bin (seed 20260702),
bg_0474,background,chr3,168752500,168752,uniform random atlas bin (seed 20260702),
bg_0475,background,chr3,168776500,168776,uniform random atlas bin (seed 20260702),
bg_0476,background,chr3,170773500,170773,uniform random atlas bin (seed 20260702),
bg_0477,background,chr3,173029500,173029,uniform random atlas bin (seed 20260702),
bg_0478,background,chr3,175925500,175925,uniform random atlas bin (seed 20260702),
bg_0479,background,chr3,177618500,177618,uniform random atlas bin (seed 20260702),
bg_0480,background,chr3,179847500,179847,uniform random atlas bin (seed 20260702),
bg_0481,background,chr3,181098500,181098,uniform random atlas bin (seed 20260702),
bg_0482,background,chr3,181275500,181275,uniform random atlas bin (seed 20260702),
bg_0483,background,chr3,185387500,185387,uniform random atlas bin (seed 20260702),
bg_0484,background,chr3,189012500,189012,uniform random atlas bin (seed 20260702),
bg_0485,background,chr3,192014500,192014,uniform random atlas bin (seed 20260702),
bg_0486,background,chr3,192831500,192831,uniform random atlas bin (seed 20260702),
bg_0487,background,chr3,193016500,193016,uniform random atlas bin (seed 20260702),
bg_0488,background,chr3,193666500,193666,uniform random atlas bin (seed 20260702),
bg_0489,background,chr3,195532500,195532,uniform random atlas bin (seed 20260702),
bg_0490,background,chr3,195965500,195965,uniform random atlas bin (seed 20260702),
bg_0491,background,chr3,196502500,196502,uniform random atlas bin (seed 20260702),
bg_0492,background,chr4,180500,180,uniform random atlas bin (seed 20260702),
bg_0493,background,chr4,895500,895,uniform random atlas bin (seed 20260702),
bg_0494,background,chr4,3600500,3600,uniform random atlas bin (seed 20260702),
bg_0495,background,chr4,5528500,5528,uniform random atlas bin (seed 20260702),
bg_0496,background,chr4,6054500,6054,uniform random atlas bin (seed 20260702),
bg_0497,background,chr4,7553500,7553,uniform random atlas bin (seed 20260702),
bg_0498,background,chr4,8026500,8026,uniform random atlas bin (seed 20260702),
bg_0499,background,chr4,8880500,8880,uniform random atlas bin (seed 20260702),
bg_0500,background,chr4,10322500,10322,uniform random atlas bin (seed 20260702),
bg_0501,background,chr4,14514500,14514,uniform random atlas bin (seed 20260702),
bg_0502,background,chr4,15728500,15728,uniform random atlas bin (seed 20260702),
bg_0503,background,chr4,15935500,15935,uniform random atlas bin (seed 20260702),
bg_0504,background,chr4,17081500,17081,uniform random atlas bin (seed 20260702),
bg_0505,background,chr4,18597500,18597,uniform random atlas bin (seed 20260702),
bg_0506,background,chr4,22755500,22755,uniform random atlas bin (seed 20260702),
bg_0507,background,chr4,24921500,24921,uniform random atlas bin (seed 20260702),
bg_0508,background,chr4,27500500,27500,uniform random atlas bin (seed 20260702),
bg_0509,background,chr4,33414500,33414,uniform random atlas bin (seed 20260702),
bg_0510,background,chr4,36005500,36005,uniform random atlas bin (seed 20260702),
bg_0511,background,chr4,40268500,40268,uniform random atlas bin (seed 20260702),
bg_0512,background,chr4,41538500,41538,uniform random atlas bin (seed 20260702),
bg_0513,background,chr4,43325500,43325,uniform random atlas bin (seed 20260702),
bg_0514,background,chr4,45932500,45932,uniform random atlas bin (seed 20260702),
bg_0515,background,chr4,46255500,46255,uniform random atlas bin (seed 20260702),
bg_0516,background,chr4,48687500,48687,uniform random atlas bin (seed 20260702),
bg_0517,background,chr4,52756500,52756,uniform random atlas bin (seed 20260702),
bg_0518,background,chr4,55622500,55622,uniform random atlas bin (seed 20260702),
bg_0519,background,chr4,55727500,55727,uniform random atlas bin (seed 20260702),
bg_0520,background,chr4,56724500,56724,uniform random atlas bin (seed 20260702),
bg_0521,background,chr4,57054500,57054,uniform random atlas bin (seed 20260702),
bg_0522,background,chr4,58740500,58740,uniform random atlas bin (seed 20260702),
bg_0523,background,chr4,58749500,58749,uniform random atlas bin (seed 20260702),
bg_0524,background,chr4,58752500,58752,uniform random atlas bin (seed 20260702),
bg_0525,background,chr4,59270500,59270,uniform random atlas bin (seed 20260702),
bg_0526,background,chr4,62180500,62180,uniform random atlas bin (seed 20260702),
bg_0527,background,chr4,62547500,62547,uniform random atlas bin (seed 20260702),
bg_0528,background,chr4,64673500,64673,uniform random atlas bin (seed 20260702),
bg_0529,background,chr4,65038500,65038,uniform random atlas bin (seed 20260702),
bg_0530,background,chr4,66371500,66371,uniform random atlas bin (seed 20260702),
bg_0531,background,chr4,66692500,66692,uniform random atlas bin (seed 20260702),
bg_0532,background,chr4,75454500,75454,uniform random atlas bin (seed 20260702),
bg_0533,background,chr4,76086500,76086,uniform random atlas bin (seed 20260702),
bg_0534,background,chr4,76648500,76648,uniform random atlas bin (seed 20260702),
bg_0535,background,chr4,78981500,78981,uniform random atlas bin (seed 20260702),
bg_0536,background,chr4,78985500,78985,uniform random atlas bin (seed 20260702),
bg_0537,background,chr4,80797500,80797,uniform random atlas bin (seed 20260702),
bg_0538,background,chr4,82176500,82176,uniform random atlas bin (seed 20260702),
bg_0539,background,chr4,83364500,83364,uniform random atlas bin (seed 20260702),
bg_0540,background,chr4,83562500,83562,uniform random atlas bin (seed 20260702),
bg_0541,background,chr4,85218500,85218,uniform random atlas bin (seed 20260702),
bg_0542,background,chr4,90442500,90442,uniform random atlas bin (seed 20260702),
bg_0543,background,chr4,92634500,92634,uniform random atlas bin (seed 20260702),
bg_0544,background,chr4,95119500,95119,uniform random atlas bin (seed 20260702),
bg_0545,background,chr4,96651500,96651,uniform random atlas bin (seed 20260702),
bg_0546,background,chr4,97068500,97068,uniform random atlas bin (seed 20260702),
bg_0547,background,chr4,99595500,99595,uniform random atlas bin (seed 20260702),
bg_0548,background,chr4,100415500,100415,uniform random atlas bin (seed 20260702),
bg_0549,background,chr4,100464500,100464,uniform random atlas bin (seed 20260702),
bg_0550,background,chr4,101673500,101673,uniform random atlas bin (seed 20260702),
bg_0551,background,chr4,102774500,102774,uniform random atlas bin (seed 20260702),
bg_0552,background,chr4,102839500,102839,uniform random atlas bin (seed 20260702),
bg_0553,background,chr4,104147500,104147,uniform random atlas bin (seed 20260702),
bg_0554,background,chr4,105570500,105570,uniform random atlas bin (seed 20260702),
bg_0555,background,chr4,107619500,107619,uniform random atlas bin (seed 20260702),
bg_0556,background,chr4,111136500,111136,uniform random atlas bin (seed 20260702),
bg_0557,background,chr4,111217500,111217,uniform random atlas bin (seed 20260702),
bg_0558,background,chr4,112876500,112876,uniform random atlas bin (seed 20260702),
bg_0559,background,chr4,116718500,116718,uniform random atlas bin (seed 20260702),
bg_0560,background,chr4,117717500,117717,uniform random atlas bin (seed 20260702),
bg_0561,background,chr4,120445500,120445,uniform random atlas bin (seed 20260702),
bg_0562,background,chr4,121693500,121693,uniform random atlas bin (seed 20260702),
bg_0563,background,chr4,125180500,125180,uniform random atlas bin (seed 20260702),
bg_0564,background,chr4,128009500,128009,uniform random atlas bin (seed 20260702),
bg_0565,background,chr4,128505500,128505,uniform random atlas bin (seed 20260702),
bg_0566,background,chr4,128836500,128836,uniform random atlas bin (seed 20260702),
bg_0567,background,chr4,128957500,128957,uniform random atlas bin (seed 20260702),
bg_0568,background,chr4,131393500,131393,uniform random atlas bin (seed 20260702),
bg_0569,background,chr4,133170500,133170,uniform random atlas bin (seed 20260702),
bg_0570,background,chr4,133212500,133212,uniform random atlas bin (seed 20260702),
bg_0571,background,chr4,134154500,134154,uniform random atlas bin (seed 20260702),
bg_0572,background,chr4,135635500,135635,uniform random atlas bin (seed 20260702),
bg_0573,background,chr4,135989500,135989,uniform random atlas bin (seed 20260702),
bg_0574,background,chr4,136896500,136896,uniform random atlas bin (seed 20260702),
bg_0575,background,chr4,138944500,138944,uniform random atlas bin (seed 20260702),
bg_0576,background,chr4,139221500,139221,uniform random atlas bin (seed 20260702),
bg_0577,background,chr4,139647500,139647,uniform random atlas bin (seed 20260702),
bg_0578,background,chr4,139905500,139905,uniform random atlas bin (seed 20260702),
bg_0579,background,chr4,142103500,142103,uniform random atlas bin (seed 20260702),
bg_0580,background,chr4,143497500,143497,uniform random atlas bin (seed 20260702),
bg_0581,background,chr4,143892500,143892,uniform random atlas bin (seed 20260702),
bg_0582,background,chr4,145068500,145068,uniform random atlas bin (seed 20260702),
bg_0583,background,chr4,146959500,146959,uniform random atlas bin (seed 20260702),
bg_0584,background,chr4,147139500,147139,uniform random atlas bin (seed 20260702),
bg_0585,background,chr4,148114500,148114,uniform random atlas bin (seed 20260702),
bg_0586,background,chr4,149887500,149887,uniform random atlas bin (seed 20260702),
bg_0587,background,chr4,150673500,150673,uniform random atlas bin (seed 20260702),
bg_0588,background,chr4,152511500,152511,uniform random atlas bin (seed 20260702),
bg_0589,background,chr4,152799500,152799,uniform random atlas bin (seed 20260702),
bg_0590,background,chr4,154761500,154761,uniform random atlas bin (seed 20260702),
bg_0591,background,chr4,156970500,156970,uniform random atlas bin (seed 20260702),
bg_0592,background,chr4,158682500,158682,uniform random atlas bin (seed 20260702),
bg_0593,background,chr4,163047500,163047,uniform random atlas bin (seed 20260702),
bg_0594,background,chr4,163612500,163612,uniform random atlas bin (seed 20260702),
bg_0595,background,chr4,166169500,166169,uniform random atlas bin (seed 20260702),
bg_0596,background,chr4,168263500,168263,uniform random atlas bin (seed 20260702),
bg_0597,background,chr4,171914500,171914,uniform random atlas bin (seed 20260702),
bg_0598,background,chr4,175475500,175475,uniform random atlas bin (seed 20260702),
bg_0599,background,chr4,175510500,175510,uniform random atlas bin (seed 20260702),
bg_0600,background,chr4,175923500,175923,uniform random atlas bin (seed 20260702),
bg_0601,background,chr4,175977500,175977,uniform random atlas bin (seed 20260702),
bg_0602,background,chr4,181786500,181786,uniform random atlas bin (seed 20260702),
bg_0603,background,chr4,182900500,182900,uniform random atlas bin (seed 20260702),
bg_0604,background,chr4,183855500,183855,uniform random atlas bin (seed 20260702),
bg_0605,background,chr4,184011500,184011,uniform random atlas bin (seed 20260702),
bg_0606,background,chr4,185678500,185678,uniform random atlas bin (seed 20260702),
bg_0607,background,chr4,186010500,186010,uniform random atlas bin (seed 20260702),
bg_0608,background,chr4,187872500,187872,uniform random atlas bin (seed 20260702),
bg_0609,background,chr5,781500,781,uniform random atlas bin (seed 20260702),
bg_0610,background,chr5,956500,956,uniform random atlas bin (seed 20260702),
bg_0611,background,chr5,4732500,4732,uniform random atlas bin (seed 20260702),
bg_0612,background,chr5,7278500,7278,uniform random atlas bin (seed 20260702),
bg_0613,background,chr5,8495500,8495,uniform random atlas bin (seed 20260702),
bg_0614,background,chr5,14028500,14028,uniform random atlas bin (seed 20260702),
bg_0615,background,chr5,14126500,14126,uniform random atlas bin (seed 20260702),
bg_0616,background,chr5,19379500,19379,uniform random atlas bin (seed 20260702),
bg_0617,background,chr5,19605500,19605,uniform random atlas bin (seed 20260702),
bg_0618,background,chr5,21295500,21295,uniform random atlas bin (seed 20260702),
bg_0619,background,chr5,21497500,21497,uniform random atlas bin (seed 20260702),
bg_0620,background,chr5,21532500,21532,uniform random atlas bin (seed 20260702),
bg_0621,background,chr5,23925500,23925,uniform random atlas bin (seed 20260702),
bg_0622,background,chr5,25105500,25105,uniform random atlas bin (seed 20260702),
bg_0623,background,chr5,31936500,31936,uniform random atlas bin (seed 20260702),
bg_0624,background,chr5,33521500,33521,uniform random atlas bin (seed 20260702),
bg_0625,background,chr5,41812500,41812,uniform random atlas bin (seed 20260702),
bg_0626,background,chr5,42600500,42600,uniform random atlas bin (seed 20260702),
bg_0627,background,chr5,46048500,46048,uniform random atlas bin (seed 20260702),
bg_0628,background,chr5,46364500,46364,uniform random atlas bin (seed 20260702),
bg_0629,background,chr5,47043500,47043,uniform random atlas bin (seed 20260702),
bg_0630,background,chr5,47680500,47680,uniform random atlas bin (seed 20260702),
bg_0631,background,chr5,48567500,48567,uniform random atlas bin (seed 20260702),
bg_0632,background,chr5,51642500,51642,uniform random atlas bin (seed 20260702),
bg_0633,background,chr5,51793500,51793,uniform random atlas bin (seed 20260702),
bg_0634,background,chr5,52042500,52042,uniform random atlas bin (seed 20260702),
bg_0635,background,chr5,53844500,53844,uniform random atlas bin (seed 20260702),
bg_0636,background,chr5,54265500,54265,uniform random atlas bin (seed 20260702),
bg_0637,background,chr5,54934500,54934,uniform random atlas bin (seed 20260702),
bg_0638,background,chr5,55011500,55011,uniform random atlas bin (seed 20260702),
bg_0639,background,chr5,58233500,58233,uniform random atlas bin (seed 20260702),
bg_0640,background,chr5,58376500,58376,uniform random atlas bin (seed 20260702),
bg_0641,background,chr5,58948500,58948,uniform random atlas bin (seed 20260702),
bg_0642,background,chr5,59126500,59126,uniform random atlas bin (seed 20260702),
bg_0643,background,chr5,64626500,64626,uniform random atlas bin (seed 20260702),
bg_0644,background,chr5,68767500,68767,uniform random atlas bin (seed 20260702),
bg_0645,background,chr5,71716500,71716,uniform random atlas bin (seed 20260702),
bg_0646,background,chr5,73874500,73874,uniform random atlas bin (seed 20260702),
bg_0647,background,chr5,77086500,77086,uniform random atlas bin (seed 20260702),
bg_0648,background,chr5,77240500,77240,uniform random atlas bin (seed 20260702),
bg_0649,background,chr5,78122500,78122,uniform random atlas bin (seed 20260702),
bg_0650,background,chr5,79323500,79323,uniform random atlas bin (seed 20260702),
bg_0651,background,chr5,79868500,79868,uniform random atlas bin (seed 20260702),
bg_0652,background,chr5,80372500,80372,uniform random atlas bin (seed 20260702),
bg_0653,background,chr5,82625500,82625,uniform random atlas bin (seed 20260702),
bg_0654,background,chr5,84626500,84626,uniform random atlas bin (seed 20260702),
bg_0655,background,chr5,84863500,84863,uniform random atlas bin (seed 20260702),
bg_0656,background,chr5,85536500,85536,uniform random atlas bin (seed 20260702),
bg_0657,background,chr5,86734500,86734,uniform random atlas bin (seed 20260702),
bg_0658,background,chr5,88171500,88171,uniform random atlas bin (seed 20260702),
bg_0659,background,chr5,91306500,91306,uniform random atlas bin (seed 20260702),
bg_0660,background,chr5,91786500,91786,uniform random atlas bin (seed 20260702),
bg_0661,background,chr5,92609500,92609,uniform random atlas bin (seed 20260702),
bg_0662,background,chr5,92840500,92840,uniform random atlas bin (seed 20260702),
bg_0663,background,chr5,94394500,94394,uniform random atlas bin (seed 20260702),
bg_0664,background,chr5,96020500,96020,uniform random atlas bin (seed 20260702),
bg_0665,background,chr5,98843500,98843,uniform random atlas bin (seed 20260702),
bg_0666,background,chr5,101174500,101174,uniform random atlas bin (seed 20260702),
bg_0667,background,chr5,101258500,101258,uniform random atlas bin (seed 20260702),
bg_0668,background,chr5,101606500,101606,uniform random atlas bin (seed 20260702),
bg_0669,background,chr5,103015500,103015,uniform random atlas bin (seed 20260702),
bg_0670,background,chr5,104081500,104081,uniform random atlas bin (seed 20260702),
bg_0671,background,chr5,104433500,104433,uniform random atlas bin (seed 20260702),
bg_0672,background,chr5,109887500,109887,uniform random atlas bin (seed 20260702),
bg_0673,background,chr5,110529500,110529,uniform random atlas bin (seed 20260702),
bg_0674,background,chr5,113328500,113328,uniform random atlas bin (seed 20260702),
bg_0675,background,chr5,114106500,114106,uniform random atlas bin (seed 20260702),
bg_0676,background,chr5,115296500,115296,uniform random atlas bin (seed 20260702),
bg_0677,background,chr5,115543500,115543,uniform random atlas bin (seed 20260702),
bg_0678,background,chr5,117555500,117555,uniform random atlas bin (seed 20260702),
bg_0679,background,chr5,121279500,121279,uniform random atlas bin (seed 20260702),
bg_0680,background,chr5,122415500,122415,uniform random atlas bin (seed 20260702),
bg_0681,background,chr5,123024500,123024,uniform random atlas bin (seed 20260702),
bg_0682,background,chr5,125289500,125289,uniform random atlas bin (seed 20260702),
bg_0683,background,chr5,125621500,125621,uniform random atlas bin (seed 20260702),
bg_0684,background,chr5,126217500,126217,uniform random atlas bin (seed 20260702),
bg_0685,background,chr5,126616500,126616,uniform random atlas bin (seed 20260702),
bg_0686,background,chr5,127989500,127989,uniform random atlas bin (seed 20260702),
bg_0687,background,chr5,129284500,129284,uniform random atlas bin (seed 20260702),
bg_0688,background,chr5,129289500,129289,uniform random atlas bin (seed 20260702),
bg_0689,background,chr5,130138500,130138,uniform random atlas bin (seed 20260702),
bg_0690,background,chr5,130360500,130360,uniform random atlas bin (seed 20260702),
bg_0691,background,chr5,131988500,131988,uniform random atlas bin (seed 20260702),
bg_0692,background,chr5,134344500,134344,uniform random atlas bin (seed 20260702),
bg_0693,background,chr5,135827500,135827,uniform random atlas bin (seed 20260702),
bg_0694,background,chr5,136058500,136058,uniform random atlas bin (seed 20260702),
bg_0695,background,chr5,138742500,138742,uniform random atlas bin (seed 20260702),
bg_0696,background,chr5,138828500,138828,uniform random atlas bin (seed 20260702),
bg_0697,background,chr5,139831500,139831,uniform random atlas bin (seed 20260702),
bg_0698,background,chr5,139896500,139896,uniform random atlas bin (seed 20260702),
bg_0699,background,chr5,141091500,141091,uniform random atlas bin (seed 20260702),
bg_0700,background,chr5,141378500,141378,uniform random atlas bin (seed 20260702),
bg_0701,background,chr5,141430500,141430,uniform random atlas bin (seed 20260702),
bg_0702,background,chr5,141587500,141587,uniform random atlas bin (seed 20260702),
bg_0703,background,chr5,143295500,143295,uniform random atlas bin (seed 20260702),
bg_0704,background,chr5,143580500,143580,uniform random atlas bin (seed 20260702),
bg_0705,background,chr5,144889500,144889,uniform random atlas bin (seed 20260702),
bg_0706,background,chr5,145258500,145258,uniform random atlas bin (seed 20260702),
bg_0707,background,chr5,147616500,147616,uniform random atlas bin (seed 20260702),
bg_0708,background,chr5,151243500,151243,uniform random atlas bin (seed 20260702),
bg_0709,background,chr5,156403500,156403,uniform random atlas bin (seed 20260702),
bg_0710,background,chr5,156693500,156693,uniform random atlas bin (seed 20260702),
bg_0711,background,chr5,156815500,156815,uniform random atlas bin (seed 20260702),
bg_0712,background,chr5,157808500,157808,uniform random atlas bin (seed 20260702),
bg_0713,background,chr5,163819500,163819,uniform random atlas bin (seed 20260702),
bg_0714,background,chr5,164425500,164425,uniform random atlas bin (seed 20260702),
bg_0715,background,chr5,166154500,166154,uniform random atlas bin (seed 20260702),
bg_0716,background,chr5,170326500,170326,uniform random atlas bin (seed 20260702),
bg_0717,background,chr5,171188500,171188,uniform random atlas bin (seed 20260702),
bg_0718,background,chr5,171926500,171926,uniform random atlas bin (seed 20260702),
bg_0719,background,chr5,172004500,172004,uniform random atlas bin (seed 20260702),
bg_0720,background,chr5,174154500,174154,uniform random atlas bin (seed 20260702),
bg_0721,background,chr5,177551500,177551,uniform random atlas bin (seed 20260702),
bg_0722,background,chr5,181393500,181393,uniform random atlas bin (seed 20260702),
bg_0723,background,chr6,782500,782,uniform random atlas bin (seed 20260702),
bg_0724,background,chr6,2413500,2413,uniform random atlas bin (seed 20260702),
bg_0725,background,chr6,6401500,6401,uniform random atlas bin (seed 20260702),
bg_0726,background,chr6,7956500,7956,uniform random atlas bin (seed 20260702),
bg_0727,background,chr6,11424500,11424,uniform random atlas bin (seed 20260702),
bg_0728,background,chr6,12949500,12949,uniform random atlas bin (seed 20260702),
bg_0729,background,chr6,17173500,17173,uniform random atlas bin (seed 20260702),
bg_0730,background,chr6,17570500,17570,uniform random atlas bin (seed 20260702),
bg_0731,background,chr6,18815500,18815,uniform random atlas bin (seed 20260702),
bg_0732,background,chr6,19398500,19398,uniform random atlas bin (seed 20260702),
bg_0733,background,chr6,22778500,22778,uniform random atlas bin (seed 20260702),
bg_0734,background,chr6,23002500,23002,uniform random atlas bin (seed 20260702),
bg_0735,background,chr6,23826500,23826,uniform random atlas bin (seed 20260702),
bg_0736,background,chr6,24611500,24611,uniform random atlas bin (seed 20260702),
bg_0737,background,chr6,25084500,25084,uniform random atlas bin (seed 20260702),
